ANG,TRQ,ANG_pred,TRQ pred,MAE,Anomaly
45.0,2441.0,46.619858,2430.399,0.008299462497234344,False
-29.999998,2441.0,-28.291851,2430.907,0.008233919739723206,False
-31.999996,2441.0,-30.254835,2430.8735,0.008323907852172852,False
-65.00001,2450.0,-63.907803,2443.4192,0.005325585603713989,False
-37.5,3661.5,-61.16123,3706.239,0.068709596991539,True
-11.000001,2441.0,-9.53564,2431.4956,0.007465094327926636,False
77.0,2411.0,78.134514,2398.5234,0.008222460746765137,False
65.0,2447.0,66.18777,2436.0205,0.007615074515342712,False
-32.999996,2442.0,-31.246305,2431.8848,0.008335769176483154,False
0.0,3661.5,-24.665134,3697.026,0.06632483005523682,True
-14.999999,2419.0,-13.519597,2410.0615,0.007227227091789246,False
-58.999996,2379.0,-56.782135,2371.9377,0.007808774709701538,False
10.000002,2441.0,11.742074,2431.3694,0.008081212639808655,False
27.0,2442.0,28.812029,2431.9631,0.008415073156356812,False
-79.0,2668.0,-78.923546,2660.6697,0.0036496520042419434,False
46.0,2440.0,47.60335,2429.3086,0.008309535682201385,False
-66.00001,2427.0,-64.662445,2419.7385,0.0061414241790771484,False
18.0,2441.0,19.81554,2431.1606,0.008327864110469818,False
-82.0,2539.0,-81.76875,2538.2703,0.0008110702037811279,False
-20.000004,2442.0,-18.479908,2432.228,0.007704257965087891,False
-76.0,2549.0,-75.76441,2548.2966,0.0008072257041931152,False
-66.00001,2462.0,-65.0923,2456.2837,0.004543781280517578,False
-58.499996,3661.5,-74.99534,3689.9297,0.046584248542785645,True
7.0000033,2442.0,8.6935835,2432.444,0.007948696613311768,False
53.0,2442.0,54.45781,2431.1274,0.008104681968688965,False
7.0000033,2442.0,8.6935835,2432.444,0.007948696613311768,False
-73.0,2509.0,-72.66908,2507.0588,0.0015884637832641602,False
-49.0,2425.0,-47.037277,2415.1926,0.008607268333435059,False
-32.999996,2442.0,-31.246305,2431.8848,0.008335769176483154,False
-48.0,2443.0,-46.22343,2433.5198,0.008078664541244507,False
98.0,2444.0,99.47432,2437.4844,0.006059497594833374,False
68.0,2433.0,69.15947,2421.1162,0.00798960030078888,False
62.0,2440.0,63.2601,2428.647,0.007937952876091003,False
-57.999996,2442.0,-56.49684,2433.7876,0.006926596164703369,False
13.0,2444.0,14.763259,2434.334,0.00814058631658554,False
-21.000002,2441.0,-19.460182,2431.187,0.007763415575027466,False
-54.999996,2441.0,-53.373806,2432.2817,0.0074141621589660645,False
-64.00001,2449.0,-62.848793,2442.1814,0.005557119846343994,False
-65.00001,2446.0,-63.858917,2439.2207,0.005518168210983276,False
0.0,2443.0,1.5730833,2433.554,0.007654979825019836,False
-11.000001,2441.0,-9.53564,2431.4956,0.007465094327926636,False
-57.999996,2452.0,-56.625057,2444.2864,0.006431847810745239,False
84.0,2453.0,85.09467,2443.4417,0.006750628352165222,False
-70.00001,2485.0,-69.46295,2481.382,0.002800852060317993,False
45.0,2442.0,46.618423,2431.452,0.008271373808383942,False
-11.000001,2441.0,-9.53564,2431.4956,0.007465094327926636,False
-32.999996,2442.0,-31.246305,2431.8848,0.008335769176483154,False
91.0,2419.0,92.29148,2409.2285,0.007246389985084534,False
69.0,2403.0,70.23173,2390.2395,0.008552521467208862,False
-80.0,2536.0,-79.77013,2535.2188,0.0008328557014465332,False
11.000001,2442.0,12.75044,2432.353,0.008105859160423279,False
-91.99999,2684.0,-92.19822,2678.521,0.0030102431774139404,False
-11.000001,2442.0,-9.538438,2432.4932,0.0074607133865356445,False
-67.00001,2449.0,-65.99024,2442.7437,0.0050057172775268555,False
-88.49999,3661.5,-93.874695,3666.0947,0.01295173168182373,True
57.0,2441.0,58.369427,2429.897,0.00803752988576889,False
89.0,2457.9998,90.18232,2449.7124,0.006319984793663025,False
-81.0,2635.0,-80.9217,2630.894,0.0021152496337890625,False
96.0,3591.0,130.59415,3456.9124,0.1332155168056488,True
77.0,2375.0,78.31603,2363.1472,0.008288383483886719,False
49.0,2383.0,50.663258,2372.4072,0.008382350206375122,False
-52.0,2441.0,-50.28372,2431.8777,0.007787138223648071,False
-14.999999,2441.0,-13.526988,2431.3918,0.0075318217277526855,False
19.0,2442.0,20.814884,2432.155,0.008329413831233978,False
61.0,2393.0,62.40202,2380.73,0.008659541606903076,False
