TRQ,TRQ pred,MAE,Anomaly
2443.0,2446.6926,0.0035227537155151367,False
2555.0,2557.96,0.002823948860168457,False
2441.0,2444.6719,0.0035027265548706055,False
2455.0,2458.3328,0.003179311752319336,False
2599.0,2600.1619,0.0011085271835327148,False
2399.0,2404.1082,0.004873037338256836,False
2894.0,2890.8196,0.0030339956283569336,False
2601.0,2602.1353,0.0010830163955688477,False
2442.0,2445.657,0.0034884214401245117,False
2374.0,2380.8904,0.006573200225830078,False
2436.0,2439.5723,0.003408074378967285,False
2571.0,2573.3823,0.0022727251052856445,False
2442.0,2445.657,0.0034884214401245117,False
2440.0,2443.6343,0.003467082977294922,False
2386.0,2391.6877,0.005425930023193359,False
2442.0,2445.657,0.0034884214401245117,False
2442.0,2445.657,0.0034884214401245117,False
2442.0,2445.657,0.0034884214401245117,False
2441.0,2444.6719,0.0035027265548706055,False
2414.0,2418.168,0.003976106643676758,False
2381.0,2387.4824,0.0061838626861572266,False
2487.0,2490.5625,0.003398299217224121,False
2474.0,2477.1606,0.0030153989791870117,False
2441.0,2444.6719,0.0035027265548706055,False
2441.0,2444.6719,0.0035027265548706055,False
2402.0,2407.0115,0.004780769348144531,False
2487.0,2490.5625,0.003398299217224121,False
2442.0,2445.657,0.0034884214401245117,False
2442.0,2445.657,0.0034884214401245117,False
2442.0,2445.657,0.0034884214401245117,False
2443.0,2446.6926,0.0035227537155151367,False
2441.0,2444.6719,0.0035027265548706055,False
2757.0,2756.2634,0.0007025003433227539,False
2441.0,2444.6719,0.0035027265548706055,False
2440.0,2443.6343,0.003467082977294922,False
2401.0,2405.9358,0.004708528518676758,False
2441.0,2444.6719,0.0035027265548706055,False
2441.0,2444.6719,0.0035027265548706055,False
2410.0,2414.2637,0.004067420959472656,False
2441.0,2444.6719,0.0035027265548706055,False
2441.0,2444.6719,0.0035027265548706055,False
2441.0,2444.6719,0.0035027265548706055,False
2441.0,2444.6719,0.0035027265548706055,False
2443.0,2446.6926,0.0035227537155151367,False
2442.0,2445.657,0.0034884214401245117,False
2422.0,2426.0562,0.003869295120239258,False
2443.0,2446.6926,0.0035227537155151367,False
2441.0,2444.6719,0.0035027265548706055,False
2441.0,2444.6719,0.0035027265548706055,False
2440.0,2443.6343,0.003467082977294922,False
2644.0,2643.63,0.00035309791564941406,False
2440.0,2443.6343,0.003467082977294922,False
2619.0,2619.8904,0.0008492469787597656,False
2629.0,2629.2598,0.0002480745315551758,False
2441.0,2444.6719,0.0035027265548706055,False
2441.0,2444.6719,0.0035027265548706055,False
2440.0,2443.6343,0.003467082977294922,False
2489.0,2492.5674,0.0034030675888061523,False
2421.0,2425.0955,0.003906846046447754,False
2442.0,2445.657,0.0034884214401245117,False
2443.0,2446.6926,0.0035227537155151367,False
2441.0,2444.6719,0.0035027265548706055,False
2442.0,2445.657,0.0034884214401245117,False
2442.0,2445.657,0.0034884214401245117,False
2402.0,2407.0115,0.004780769348144531,False
2635.0,2635.2104,0.00020074844360351562,False
2441.0,2444.6719,0.0035027265548706055,False
2463.0,2466.4539,0.003294706344604492,False
2441.0,2444.6719,0.0035027265548706055,False
2427.0,2430.5557,0.0033919811248779297,False
2375.9998,2382.741,0.0064307451248168945,False
2415.0,2419.2097,0.004015922546386719,False
2438.0,2441.5793,0.0034142732620239258,False
2385.0,2390.6746,0.0054132938385009766,False
2439.0,2442.666,0.003497004508972168,False
2477.0,2480.3372,0.003183722496032715,False
2442.0,2445.657,0.0034884214401245117,False
2766.0,2765.59,0.00039118528366088867,False
2442.0,2445.657,0.0034884214401245117,False
2403.0,2407.927,0.004700183868408203,False
2454.0,2457.2654,0.003115057945251465,False
2375.0,2381.8127,0.006499290466308594,False
2462.0,2465.4788,0.0033186674118041992,False
2442.0,2445.657,0.0034884214401245117,False
2396.0,2401.171,0.004932999610900879,False
2442.0,2445.657,0.0034884214401245117,False
2441.0,2444.6719,0.0035027265548706055,False
2529.0,2532.3047,0.003152608871459961,False
2502.0,2505.355,0.0032006502151489258,False
2416.0,2420.148,0.003957152366638184,False
2461.0,2464.478,0.0033180713653564453,False
2394.0,2399.275,0.005032181739807129,False
2440.0,2443.6343,0.003467082977294922,False
2442.0,2445.657,0.0034884214401245117,False
2441.0,2444.6719,0.0035027265548706055,False
2440.0,2443.6343,0.003467082977294922,False
2621.0,2621.3809,0.00036323070526123047,False
2377.0,2383.6768,0.006369471549987793,False
2441.0,2444.6719,0.0035027265548706055,False
2949.9998,2943.3167,0.006375610828399658,False
2373.0,2379.9675,0.006646871566772461,False
2435.0,2438.611,0.0034450292587280273,False
2666.0,2665.097,0.0008613467216491699,False
2584.0,2585.7983,0.0017156600952148438,False
2441.0,2444.6719,0.0035027265548706055,False
2792.0,2791.9124,8.374452590942383e-05,False
2601.0,2602.1353,0.0010830163955688477,False
2441.0,2444.6719,0.0035027265548706055,False
2441.0,2444.6719,0.0035027265548706055,False
2447.0,2450.691,0.0035210847854614258,False
2466.0,2469.6084,0.00344240665435791,False
2382.0,2388.3396,0.006047725677490234,False
2610.0,2611.024,0.0009768009185791016,False
2457.9998,2461.47,0.003310561180114746,False
2450.0,2453.1946,0.0030475854873657227,False
2439.0,2442.666,0.003497004508972168,False
2599.0,2600.1619,0.0011085271835327148,False
2442.0,2445.657,0.0034884214401245117,False
2441.0,2444.6719,0.0035027265548706055,False
2441.0,2444.6719,0.0035027265548706055,False
2439.0,2442.666,0.003497004508972168,False
2441.0,2444.6719,0.0035027265548706055,False
2815.0,2814.8887,0.00010645389556884766,False
2441.0,2444.6719,0.0035027265548706055,False
