TRQ,TRQ pred,MAE,Anomaly
2443.0,2447.6213,0.004408478736877441,False
2555.0,2561.295,0.006005406379699707,False
2441.0,2445.488,0.004281401634216309,False
2455.0,2459.467,0.0042612552642822266,False
2599.0,2604.0461,0.004813790321350098,False
2399.0,2403.8794,0.004655003547668457,False
2894.0,2899.5635,0.005307376384735107,False
2601.0,2606.015,0.004784107208251953,False
2442.0,2446.51,0.004302322864532471,False
2374.0,2380.0898,0.005809605121612549,False
2436.0,2440.3162,0.004117369651794434,False
2571.0,2576.949,0.005675077438354492,False
2442.0,2446.51,0.004302322864532471,False
2440.0,2444.4844,0.0042778849601745605,False
2386.0,2391.1675,0.0049294233322143555,False
2442.0,2446.51,0.004302322864532471,False
2442.0,2446.51,0.004302322864532471,False
2442.0,2446.51,0.004302322864532471,False
2441.0,2445.488,0.004281401634216309,False
2414.0,2418.3354,0.00413590669631958,False
2381.0,2386.787,0.005520641803741455,False
2487.0,2492.4731,0.005221128463745117,False
2474.0,2478.8342,0.0046117305755615234,False
2441.0,2445.488,0.004281401634216309,False
2441.0,2445.488,0.004281401634216309,False
2402.0,2406.878,0.004653453826904297,False
2487.0,2492.4731,0.005221128463745117,False
2442.0,2446.51,0.004302322864532471,False
2442.0,2446.51,0.004302322864532471,False
2442.0,2446.51,0.004302322864532471,False
2443.0,2447.6213,0.004408478736877441,False
2441.0,2445.488,0.004281401634216309,False
2757.0,2759.4724,0.002358555793762207,False
2441.0,2445.488,0.004281401634216309,False
2440.0,2444.4844,0.0042778849601745605,False
2401.0,2405.8525,0.0046291351318359375,False
2441.0,2445.488,0.004281401634216309,False
2441.0,2445.488,0.004281401634216309,False
2410.0,2414.3547,0.004154324531555176,False
2441.0,2445.488,0.004281401634216309,False
2441.0,2445.488,0.004281401634216309,False
2441.0,2445.488,0.004281401634216309,False
2441.0,2445.488,0.004281401634216309,False
2443.0,2447.6213,0.004408478736877441,False
2442.0,2446.51,0.004302322864532471,False
2422.0,2426.5225,0.004314124584197998,False
2443.0,2447.6213,0.004408478736877441,False
2441.0,2445.488,0.004281401634216309,False
2441.0,2445.488,0.004281401634216309,False
2440.0,2444.4844,0.0042778849601745605,False
2644.0,2647.7366,0.00356447696685791,False
2440.0,2444.4844,0.0042778849601745605,False
2619.0,2623.8748,0.0046503543853759766,False
2629.0,2633.3184,0.004119575023651123,False
2441.0,2445.488,0.004281401634216309,False
2441.0,2445.488,0.004281401634216309,False
2440.0,2444.4844,0.0042778849601745605,False
2489.0,2494.5337,0.005279064178466797,False
2421.0,2425.5154,0.004307746887207031,False
2442.0,2446.51,0.004302322864532471,False
2443.0,2447.6213,0.004408478736877441,False
2441.0,2445.488,0.004281401634216309,False
2442.0,2446.51,0.004302322864532471,False
2442.0,2446.51,0.004302322864532471,False
2402.0,2406.878,0.004653453826904297,False
2635.0,2639.253,0.0040572285652160645,False
2441.0,2445.488,0.004281401634216309,False
2463.0,2467.8406,0.0046176910400390625,False
2441.0,2445.488,0.004281401634216309,False
2427.0,2431.134,0.003943681716918945,False
2375.9998,2382.0237,0.005746603012084961,False
2415.0,2419.3862,0.004184365272521973,False
2438.0,2442.435,0.0042307376861572266,False
2385.0,2390.1924,0.004953324794769287,False
2439.0,2443.4673,0.004261672496795654,False
2477.0,2481.9534,0.004725456237792969,False
2442.0,2446.51,0.004302322864532471,False
2766.0,2768.8494,0.002718210220336914,False
2442.0,2446.51,0.004302322864532471,False
2403.0,2407.87,0.004646003246307373,False
2454.0,2458.4624,0.0042569637298583984,False
2375.0,2381.1187,0.005836844444274902,False
2462.0,2466.7776,0.004557788372039795,False
2442.0,2446.51,0.004302322864532471,False
2396.0,2400.9128,0.004686951637268066,False
2442.0,2446.51,0.004302322864532471,False
2441.0,2445.488,0.004281401634216309,False
2529.0,2535.1152,0.005833625793457031,False
2502.0,2507.5867,0.005329489707946777,False
2416.0,2420.3381,0.004138529300689697,False
2461.0,2465.7297,0.0045119524002075195,False
2394.0,2399.0225,0.004791378974914551,False
2440.0,2444.4844,0.0042778849601745605,False
2442.0,2446.51,0.004302322864532471,False
2441.0,2445.488,0.004281401634216309,False
2440.0,2444.4844,0.0042778849601745605,False
2621.0,2625.3872,0.00418543815612793,False
2377.0,2383.01,0.005733370780944824,False
2441.0,2445.488,0.004281401634216309,False
2949.9998,2956.5476,0.006246447563171387,False
2373.0,2379.1792,0.005894601345062256,False
2435.0,2439.2595,0.004063248634338379,False
2666.0,2669.084,0.002942025661468506,False
2584.0,2589.5378,0.005282938480377197,False
2441.0,2445.488,0.004281401634216309,False
2792.0,2795.4233,0.003265857696533203,False
2601.0,2606.015,0.004784107208251953,False
2441.0,2445.488,0.004281401634216309,False
2441.0,2445.488,0.004281401634216309,False
2447.0,2451.7205,0.004503130912780762,False
2466.0,2470.9602,0.004732012748718262,False
2382.0,2387.7075,0.005444645881652832,False
2610.0,2614.9944,0.004764437675476074,False
2457.9998,2462.6528,0.004438877105712891,False
2450.0,2454.2942,0.004096508026123047,False
2439.0,2443.4673,0.004261672496795654,False
2599.0,2604.0461,0.004813790321350098,False
2442.0,2446.51,0.004302322864532471,False
2441.0,2445.488,0.004281401634216309,False
2441.0,2445.488,0.004281401634216309,False
2439.0,2443.4673,0.004261672496795654,False
2441.0,2445.488,0.004281401634216309,False
2815.0,2819.0195,0.003834545612335205,False
2441.0,2445.488,0.004281401634216309,False
2441.0,2445.488,0.004281401634216309,False
2471.0,2475.6946,0.00447845458984375,False
2441.0,2445.488,0.004281401634216309,False
2429.0,2433.1877,0.003995120525360107,False
